Time(s),True Position X(m),True Position Y(m),True Position Z(m),TRUKF Estimated Position X(m),TRUKF Estimated Position Y(m),TRUKF Estimated Position Z(m)
5.562000000000000455e+02,3.186509425201381518e+01,-1.255256284628786645e+01,-2.873128689300744387e+00,3.194423316784195066e+01,-1.451439655038454291e+01,-2.906313371786937605e+00
5.563000000000000682e+02,3.186509425201381518e+01,-1.252256284628786531e+01,-2.864668907277057919e+00,3.194494189811592832e+01,-1.451219813093498345e+01,-2.926312037905787200e+00
5.563999999999999773e+02,3.186509425201381518e+01,-1.249256284628786595e+01,-2.856180339887437913e+00,3.194542117465706710e+01,-1.451072034726701787e+01,-2.946311434509041760e+00
5.565000000000000000e+02,3.186509425201381518e+01,-1.246256284628786659e+01,-2.847653668647240899e+00,3.194574523131125687e+01,-1.450972528442800247e+01,-2.966311160716475825e+00
5.566000000000000227e+02,3.186509425201381518e+01,-1.243256284628786545e+01,-2.839079809994731196e+00,3.194596328727472212e+01,-1.450905640300961252e+01,-2.986311036978404054e+00
5.567000000000000455e+02,3.186509425201381518e+01,-1.240256284628786432e+01,-2.830449971294259459e+00,3.194611358062855189e+01,-1.450860810339376350e+01,-3.006310981088166745e+00
5.568000000000000682e+02,3.186509425201381518e+01,-1.237256284628786496e+01,-2.821755705045790208e+00,3.194621791835595559e+01,-1.450830799228554469e+01,-3.026310955849890849e+00
5.568999999999999773e+02,3.186509425201381518e+01,-1.234256284628786560e+01,-2.812988960966543495e+00,3.194629170970430465e+01,-1.450810485961442886e+01,-3.046310944172876400e+00
5.570000000000000000e+02,3.186509425201381518e+01,-1.231256284628786446e+01,-2.804142135623671983e+00,3.186498518863504970e+01,-1.435864620481186371e+01,-2.807530375263636913e+00
5.571000000000000227e+02,3.186509425201381518e+01,-1.228256284628786332e+01,-2.795208119311941797e+00,3.186630401527991197e+01,-1.435297726620359704e+01,-2.802458803182766633e+00
5.572000000000000455e+02,3.186509425201381518e+01,-1.225256284628786396e+01,-2.786180339887440294e+00,3.186719132935838417e+01,-1.434917394153831438e+01,-2.822454989667998682e+00
5.573000000000000682e+02,3.186509425201381518e+01,-1.222256284628786460e+01,-2.777052803287023863e+00,3.186778806512349860e+01,-1.434662041933081333e+01,-2.842453270451796410e+00
5.573999999999999773e+02,3.186509425201381518e+01,-1.219256284628786347e+01,-2.767820130483709118e+00,3.186818837748744215e+01,-1.434490601141268051e+01,-2.862452495575661171e+00
5.575000000000000000e+02,3.186509425201381518e+01,-1.216256284628786233e+01,-2.758477590650167510e+00,3.186845615731617443e+01,-1.434375300426029831e+01,-2.882452145289711165e+00
