Time(s),True Position X(m),True Position Y(m),True Position Z(m),UKF Estimated Position X(m),UKF Estimated Position Y(m),UKF Estimated Position Z(m)
8.760000000000000853e+01,1.338406001453116900e+01,-8.986727904497200825e+00,-5.996180339887415833e+00,1.514024979536864635e+01,-7.692138503991500897e+00,-5.943798613915642903e+00
8.770000000000000284e+01,1.342902707972700682e+01,-8.956539088238466562e+00,-5.994668907277034720e+00,1.523389965535174895e+01,-7.628209177725171486e+00,-5.941861758901108459e+00
8.780000000000001137e+01,1.347395644489688493e+01,-8.926485119863400541e+00,-5.993128689300720957e+00,1.532758177198472538e+01,-7.564448446665611669e+00,-5.939971904578268180e+00
8.790000000000000568e+01,1.351884798390819498e+01,-8.896566336860221469e+00,-5.991569181914473852e+00,1.542130409869408680e+01,-7.500862732653953202e+00,-5.938130263881927107e+00
8.800000000000000000e+01,1.356370157073451743e+01,-8.866783075199087705e+00,-5.989999999999916724e+00,1.507622972258393190e+01,-7.769446566850321645e+00,-5.943994292074180841e+00
8.810000000000000853e+01,1.360851707945597866e+01,-8.837135669328342047e+00,-5.988430818085359597e+00,1.517454219666866067e+01,-7.700901416651539932e+00,-5.941777789784406849e+00
8.820000000000000284e+01,1.365329438425960795e+01,-8.807624452170742302e+00,-5.986871310699112492e+00,1.527319039727908034e+01,-7.632287040619509355e+00,-5.939609799577503679e+00
8.830000000000001137e+01,1.369803335943967681e+01,-8.778249755119727382e+00,-5.985331092722798729e+00,1.537219217098232349e+01,-7.563614755995907046e+00,-5.937493656062308389e+00
8.840000000000000568e+01,1.374273387939807201e+01,-8.749011908035699392e+00,-5.983819660112417615e+00,1.547155837901601672e+01,-7.494902772898761611e+00,-5.935429947158816333e+00
8.850000000000000000e+01,1.378739581864463126e+01,-8.719911239242314593e+00,-5.982346331352615287e+00,1.557129036861250171e+01,-7.426171198084130509e+00,-5.933418054759599158e+00
8.860000000000000853e+01,1.383201905179750391e+01,-8.690948075522802796e+00,-5.980920190005125647e+00,1.567139906567597052e+01,-7.357444095439213072e+00,-5.931462046863131832e+00
8.870000000000000284e+01,1.387660345358350256e+01,-8.662122742116284968e+00,-5.979550028705597597e+00,1.577189536448368301e+01,-7.288738460664298202e+00,-5.929562376806114088e+00
8.880000000000001137e+01,1.392114889883844597e+01,-8.633435562714138811e+00,-5.978244294954067506e+00,1.587279224420147727e+01,-7.220061620350900711e+00,-5.927719067210418302e+00
8.890000000000000568e+01,1.396565526250753031e+01,-8.604886859456348347e+00,-5.977011039033312656e+00,1.597410270986836167e+01,-7.151418516666399938e+00,-5.925932248436179606e+00
8.900000000000000000e+01,1.401012241964565419e+01,-8.576476952927896136e+00,-5.975857864376186157e+00,1.560964088117655635e+01,-7.421083879688473495e+00,-5.930752176624623395e+00
8.910000000000000853e+01,1.405455024541779530e+01,-8.548206162155155496e+00,-5.974791880687916112e+00,1.570914216750394843e+01,-7.353362426472401125e+00,-5.929062590316704018e+00
