时间戳,真实位置X(m),真实位置Y(m),真实位置Z(m),EKF估计位置X(m),EKF估计位置Y(m),EKF估计位置Z(m),真实速度X(m/s),真实速度Y(m/s),真实速度Z(m/s),EKF估计速度X(m/s),EKF估计速度Y(m/s),EKF估计速度Z(m/s)
1.020000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.973014285937932399e+01,-7.483233940321786015e+00,-1.480855027031056093e-01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.501015436876004916e+00,-1.688038717223624419e+00,-4.576265698904779522e-01
1.021000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.822474215957111454e+01,-6.493074455442678250e+00,-2.166519876419596355e-02,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-3.096732125436974514e-01,-9.972226561234245334e-01,-6.059497299158957129e-02
1.022000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.854969943701576085e+01,-7.845184344198235848e+00,-2.895600326877727504e-01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,9.063957087261760304e-01,-4.662998428746646162e+00,-1.384370832900732706e+00
1.023000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.942086648732329479e+01,-6.372458371924154541e+00,-3.129479302912516747e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,2.311350779671090372e+00,-1.062134630957791148e-01,-1.048059185613530842e+00
1.024000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.734037531192829462e+01,-7.058546048984918997e+00,-3.644020261953506701e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.058743263871371632e+00,-2.484893950935632922e+00,-9.367082474185486340e-01
1.025000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.872484018404760775e+01,-7.764190006131586941e+00,-4.924115666488444454e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,2.470240547668980824e+00,-3.226613100197855299e+00,-2.401694530062462807e+00
1.026000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.853380478588260516e+01,-5.262154949114904667e+00,-4.221480739033747209e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.010537696839306276e+00,7.526386570752110483e-01,-1.058650268216506651e+00
1.027000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.760485961523050591e+01,-6.939469667955604493e+00,-6.748712488184867020e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-4.547529586090891529e-01,-4.601818758559997669e+00,-1.694863002730410573e+00
1.028000000000000000e+03,9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.934224718254518294e+01,-6.294361991391200561e+00,-6.662267778094146387e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,3.462112000765467990e+00,-7.567912634901167168e-01,-2.668347446478239959e+00
1.029000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.744694450646059281e+01,-4.658587391915767206e+00,-5.199867136442946070e-01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-8.458647280203648311e-01,-4.305118033410175737e-01,-1.929043852649315216e+00
