时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),TRUKF估计位置X(m),TRUKF估计位置Y(m),TRUKF估计位置Z(m)
6.844000000000000000e+03,-5.314425311983645770e+03,-3.282363039620786367e+03,0.000000000000000000e+00,1.516013633465599469e+03,-2.206493785750146799e+03,-8.349095410036871945e-02
6.845000000000000000e+03,-5.314425311983645770e+03,-3.282474234547150445e+03,0.000000000000000000e+00,1.524248651211917149e+03,-2.200839512322260362e+03,-4.585118784900573535e-02
6.846000000000000000e+03,-5.314331810711634716e+03,-3.282474234547150445e+03,0.000000000000000000e+00,1.532349131349235449e+03,-2.195227170692845448e+03,1.603045751900377958e-01
6.847000000000000000e+03,-5.314331810711634716e+03,-3.282474234547150445e+03,0.000000000000000000e+00,1.540552567952679283e+03,-2.189507376033430774e+03,3.246871268464406740e-02
6.848000000000000000e+03,-5.314238309439624572e+03,-3.282474234547150445e+03,0.000000000000000000e+00,1.548734107213981133e+03,-2.183752951386382847e+03,3.202457513743971890e-02
6.849000000000000000e+03,-5.314238309439624572e+03,-3.282474234547150445e+03,0.000000000000000000e+00,1.556724164222561740e+03,-2.178086673232354769e+03,1.905813162552941475e-01
6.850000000000000000e+03,-5.314238309439624572e+03,-3.282585429473514068e+03,0.000000000000000000e+00,1.564825015589495251e+03,-2.172292768799735313e+03,-1.095752141080316711e-01
6.851000000000000000e+03,-5.314144808166282928e+03,-3.282585429473514068e+03,0.000000000000000000e+00,1.572833198376137489e+03,-2.166528810384848839e+03,-7.541848306982962269e-02
6.852000000000000000e+03,-5.314144808166282928e+03,-3.282585429473514068e+03,0.000000000000000000e+00,1.580845916539388554e+03,-2.160707519358213631e+03,1.237698967016985646e-01
6.853000000000000000e+03,-5.314051306894272784e+03,-3.282585429473514068e+03,0.000000000000000000e+00,1.588909850534048701e+03,-2.154813951688325687e+03,5.336449397768584790e-02
6.854000000000000000e+03,-5.314051306894272784e+03,-3.282585429473514068e+03,0.000000000000000000e+00,1.596868916613905185e+03,-2.148950588489859456e+03,1.436912290001606529e-01
6.855000000000000000e+03,-5.313957805622261731e+03,-3.282696624400668043e+03,0.000000000000000000e+00,1.604819450465660566e+03,-2.143043343613307570e+03,-5.678580247772802708e-02
6.856000000000000000e+03,-5.313957805622261731e+03,-3.282696624400668043e+03,0.000000000000000000e+00,1.612532798024955810e+03,-2.137260751433200767e+03,2.528872206503671172e-01
6.857000000000000000e+03,-5.313957805622261731e+03,-3.282696624400668043e+03,0.000000000000000000e+00,1.620452696101562424e+03,-2.131298521044636345e+03,5.483279633966249567e-02
6.858000000000000000e+03,-5.313864304350251587e+03,-3.282696624400668043e+03,0.000000000000000000e+00,1.628327528461274142e+03,-2.125315419017838849e+03,1.052280060164918207e-01
6.859000000000000000e+03,-5.313864304350251587e+03,-3.282696624400668043e+03,0.000000000000000000e+00,1.636219077927084527e+03,-2.119267471591564572e+03,-1.149005614230353967e-01
6.860000000000000000e+03,-5.313864304350251587e+03,-3.282696624400668043e+03,0.000000000000000000e+00,1.644071668321779271e+03,-2.113214226447664714e+03,-1.352951638694824266e-01
6.861000000000000000e+03,-5.313770803078239624e+03,-3.282807819327032121e+03,0.000000000000000000e+00,1.651583243213209244e+03,-2.107352398085302411e+03,2.889458138706358925e-01
6.862000000000000000e+03,-5.313864304350251587e+03,-3.282807819327032121e+03,0.000000000000000000e+00,1.659347579395054254e+03,-2.101299126437954328e+03,1.721132889401530974e-01
6.863000000000000000e+03,-5.313770803078239624e+03,-3.282807819327032121e+03,0.000000000000000000e+00,1.667166472306302239e+03,-2.095124986295332747e+03,-7.209188321716644698e-02
