时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),ESKF估计位置X(m),ESKF估计位置Y(m),ESKF估计位置Z(m)
2.438000000000000000e+03,-1.388867897959196171e+03,2.058218092193056634e+02,0.000000000000000000e+00,-1.295304744513629430e+03,2.420439349657908110e+02,6.248090072940655215e-01
2.439000000000000000e+03,-1.390737923403404011e+03,2.044874700997794719e+02,0.000000000000000000e+00,-1.295387591982301728e+03,2.418712170212383228e+02,6.184009388389100081e-01
2.440000000000000000e+03,-1.392514447576929797e+03,2.030419360530994481e+02,0.000000000000000000e+00,-1.295473827603373820e+03,2.416983906871949728e+02,6.081651615322064552e-01
2.441000000000000000e+03,-1.394384473021137637e+03,2.015964020072094343e+02,0.000000000000000000e+00,-1.315401857538590775e+03,2.328801867275827817e+02,6.094345033770813824e-01
2.442000000000000000e+03,-1.396254498466674249e+03,2.001508679605293537e+02,0.000000000000000000e+00,-1.315465037118149212e+03,2.326892627489400240e+02,5.888973838479949485e-01
2.443000000000000000e+03,-1.398031022638871264e+03,1.987053339138492731e+02,0.000000000000000000e+00,-1.315534685945787942e+03,2.325063846135793426e+02,5.780910044286104998e-01
2.444000000000000000e+03,-1.399807546812396595e+03,1.972597998679592877e+02,0.000000000000000000e+00,-1.315608359536035096e+03,2.323220684654442607e+02,5.636544778957237600e-01
2.445000000000000000e+03,-1.401677572256604662e+03,1.957030708949153563e+02,0.000000000000000000e+00,-1.315692716027749611e+03,2.321551167079355480e+02,5.538657175847394587e-01
2.446000000000000000e+03,-1.403454096430130221e+03,1.942575368482352758e+02,0.000000000000000000e+00,-1.315790171877365538e+03,2.319823637359483541e+02,5.404497192925047377e-01
2.447000000000000000e+03,-1.405324121874338289e+03,1.927008078751913729e+02,0.000000000000000000e+00,-1.315898327984631578e+03,2.318134389694405115e+02,5.327454935452494711e-01
2.448000000000000000e+03,-1.407100646047863620e+03,1.912552738285113492e+02,0.000000000000000000e+00,-1.316005299331529386e+03,2.316507642217806620e+02,5.236269107239327480e-01
2.449000000000000000e+03,-1.408877170220060634e+03,1.896985448562575414e+02,0.000000000000000000e+00,-1.316114754451396720e+03,2.314917650903665844e+02,5.194500818716224488e-01
2.450000000000000000e+03,-1.410747195664268475e+03,1.881418158832136385e+02,0.000000000000000000e+00,-1.316216943859232515e+03,2.313306741075788011e+02,5.167907690492857808e-01
2.451000000000000000e+03,-1.412523719837793806e+03,1.866962818365335579e+02,0.000000000000000000e+00,-1.335731050898686817e+03,2.217361338589240631e+02,5.271528541923676814e-01
2.452000000000000000e+03,-1.414300244009990820e+03,1.851395528634896266e+02,0.000000000000000000e+00,-1.335796455706422421e+03,2.215594000537098793e+02,5.222362297516041085e-01
2.453000000000000000e+03,-1.416170269455527659e+03,1.836940188168095460e+02,0.000000000000000000e+00,-1.335859064734297817e+03,2.213878651084384899e+02,5.227692169778515030e-01
2.454000000000000000e+03,-1.418040294899735272e+03,1.822484847709195890e+02,0.000000000000000000e+00,-1.335912269857615911e+03,2.212116603406156230e+02,5.286059497287851627e-01
