时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),UKF估计位置X(m),UKF估计位置Y(m),UKF估计位置Z(m)
7.526000000000000000e+03,-5.330788034626776607e+03,-3.268463673789755831e+03,0.000000000000000000e+00,-5.338551361589128646e+03,-3.275463105041713789e+03,-2.242185246287149714e-02
7.527000000000000000e+03,-5.330881535898788570e+03,-3.268463673789755831e+03,0.000000000000000000e+00,-5.338557881071392330e+03,-3.275464501426744391e+03,-2.344156381519971188e-02
7.528000000000000000e+03,-5.330975037170798714e+03,-3.268463673789755831e+03,0.000000000000000000e+00,-5.338564300177273253e+03,-3.275466091105434316e+03,-2.446677890139786760e-02
7.529000000000000000e+03,-5.330975037170798714e+03,-3.268463673789755831e+03,0.000000000000000000e+00,-5.338570619081430777e+03,-3.275467876137034182e+03,-2.549772357717756954e-02
7.530000000000000000e+03,-5.330975037170798714e+03,-3.268352478863391298e+03,0.000000000000000000e+00,-5.338576837791937578e+03,-3.275469856554824219e+03,-2.653505301209604927e-02
7.531000000000000000e+03,-5.331068538444138539e+03,-3.268352478863391298e+03,0.000000000000000000e+00,-5.338802666231237708e+03,-3.275362083829411858e+03,-1.746958250066757423e-02
7.532000000000000000e+03,-5.331068538444138539e+03,-3.268352478863391298e+03,0.000000000000000000e+00,-5.338808528029159788e+03,-3.275362026581709870e+03,-1.799594008916435145e-02
7.533000000000000000e+03,-5.331162039716150502e+03,-3.268352478863391298e+03,0.000000000000000000e+00,-5.338814218143266771e+03,-3.275362103950534220e+03,-1.852607996603099910e-02
7.534000000000000000e+03,-5.331162039716150502e+03,-3.268352478863391298e+03,0.000000000000000000e+00,-5.338819735682642204e+03,-3.275362316560516774e+03,-1.906015003595155910e-02
7.535000000000000000e+03,-5.331162039716150502e+03,-3.268352478863391298e+03,0.000000000000000000e+00,-5.338825080120997882e+03,-3.275362665017595646e+03,-1.959684794832110277e-02
7.536000000000000000e+03,-5.331255540988160647e+03,-3.268241283936237778e+03,0.000000000000000000e+00,-5.338830251260627847e+03,-3.275363149581091420e+03,-2.013768513970637386e-02
7.537000000000000000e+03,-5.331255540988160647e+03,-3.268241283936237778e+03,0.000000000000000000e+00,-5.338835248211380531e+03,-3.275363769893390781e+03,-2.068242763903455073e-02
7.538000000000000000e+03,-5.331255540988160647e+03,-3.268241283936237778e+03,0.000000000000000000e+00,-5.338840070106820349e+03,-3.275364527170224392e+03,-2.122999868376761190e-02
